Timestamp;dealdata
17936000;-41
17962000;30
17988000;-41
18014000;7
18040000;23
18066000;39
18092000;-83
18118000;-19
18144000;79
18170000;-35
18196000;-93
18222000;-73
18248000;-84
18274000;-19
18299000;-11
18325000;-9
18351000;-19
18377000;-18
18403000;23
18429000;34
18455000;87
18481000;-9
18507000;15
18533000;23
18559000;-17
18585000;6
18611000;-63
18637000;19
18662000;-9
18688000;7
18714000;-25
18740000;-12
18766000;7
18792000;-10
18818000;-1
18844000;11
18870000;23
18896000;39
18922000;-93
18948000;43
18974000;35
19000000;-1
19025000;-35
19051000;51
19077000;-77
19103000;-41
19129000;61
19155000;-9
19181000;-13
19207000;23
19233000;23
19259000;-99
19285000;-9
19311000;-79
19337000;35
19363000;7
19389000;-85
19414000;14
19440000;-30
19466000;23
19492000;-3
19518000;-5
19544000;-35
19570000;12
19596000;-25
19622000;5
19648000;-17
19674000;35
19700000;-93
19726000;-43
19752000;37
19777000;-31
19803000;71
19829000;-44
19855000;-65
19881000;71
19907000;3
19933000;-41
19959000;7
19985000;-43
20011000;-31
20037000;54
20063000;7
20089000;-25
20115000;-34
20141000;-83
20166000;55
20192000;-5
20218000;39
20244000;65
20270000;11
20296000;-45
20322000;1
20348000;39
20374000;113
20400000;7
20426000;-89
20452000;-59
20479000;-3
20505000;7
20530000;6
20556000;12
20582000;2
20608000;-52
20634000;54
20660000;-17
20686000;-9
20712000;-27
20738000;7
20764000;-31
20790000;-73
20816000;-13
20842000;61
20868000;-3
20894000;-41
20919000;-25
20945000;35
20971000;-81
20997000;-9
21023000;5
21049000;-5
21075000;-89
21101000;55
21127000;3
21153000;-18
21179000;27
21205000;-1
21231000;45
21257000;43
21282000;31
21308000;-73
21334000;5
21360000;17
21386000;61
21412000;-26
21438000;-25
21464000;23
21490000;38
21516000;38
21542000;38
21568000;-73
21594000;-11
21620000;34
21645000;-9
21671000;-65
21697000;15
21723000;-41
21749000;-53
21775000;33
21801000;-19
21827000;13
21853000;-45
21879000;31
21905000;-44
21931000;14
21957000;-33
21983000;-51
22008000;-2
22033000;-36
22059000;17
22085000;1
22111000;45
22137000;-74
22163000;-25
22189000;23
22215000;-21
22241000;-41
22267000;-75
22293000;-25
22319000;35
22345000;37
22371000;-75
22396000;-85
22422000;12
22448000;-10
22473000;-21
22499000;-19
22524000;-27
22551000;-25
22577000;-75
22603000;-28
22629000;-45
22655000;23
22681000;5
22707000;-83
22733000;93
22758000;-89
22784000;13
22810000;-29
22836000;-1
22862000;30
22888000;7
22914000;-25
22940000;-45
22966000;67
22992000;55
23018000;-14
23044000;-75
23070000;-9
23096000;-51
23122000;79
23147000;50
23173000;13
23199000;66
23225000;33
